^:<name=sn2 footnote=bk preload=true>	note
26	月喻是指月亮在天空運行時，不會受虛空所阻礙、困著、束縛。其比喻跟之後的經文佛陀以手掌在虛空中搖晃相同。
27	這裏的“悲憫族人”有兩重意思：第一重意思是到族人的家中化食，可給族人一個修福的機會；第二重意思是不超過三位比丘到族人的家中化食，可減輕那個家庭的負擔。
28	“頭將會破碎掉”或“頭將會破成七份”是慣用語之一，意思是指“將會遭到很大的不幸”。經文這裏應是說，若一個沒有知見的老師對一個非常誠心的弟子說自己有知有見，這會浪費了一份高質素的求道之心，這是一件非常可惜的事情，因此也會為這個老師帶來很大的不幸。
29	這裏的地界、水界、火界、風界是指地震、水災、火災、風災四種自然災害。
30	在《相應部》的註釋《精義顯揚》(Sāratthappakāsinī)之中說，這些鷲鳥、烏鴉、鷹鳥俱為夜叉鷲鳥、夜叉烏鴉、夜叉鷹鳥，一般人是看不到牠們的。
31	這裏和以下數篇經文之中所提到的“人”，都屬“夜叉人”而不是真正的人。
32	註釋說，調馬師、調牛師常用刺棒來刺牛馬。
33	尖頂屋的建築方式，是用一件堅硬的木材來做屋的尖頂，以此銜接整間屋的樑。如果把這件尖頂木去掉的話，所有屋樑便會失去依附而散落。
34	“壽行”(āyu-saṅkhāra)是遷流不息的壽元。人的壽命時刻都在急速消逝。
35	註釋說，這裏和下一篇經文的“偽沙門釋子”是指提婆達多。註釋也說，老豺雖然患有癬疥，但能隨心所欲到處活動，而涼風亦不斷給牠帶來舒暢的感受，但提婆達多的內心連少許舒暢的感受也沒有。
36	大目犍連尊者出身於婆羅門種姓。
