^:<name=mn1 footnote=bk preload=true>	note
14	經文“在聖者的律之中”沒有出現一般與“律”相提並論的“法”。在《中阿含經．九十一．周那問見經》中，與此相應的經文是“於聖法、律中”。“聖者的法和律”即是指佛陀所有的教法。
15	“食”(āhāra)原本是指食物，但在法義中引申為生命賴以投生及持續的四種食糧。對四食起貪愛是導致生死流轉的原因。
16	四種沙門是指初、二、三、四果的沙門。
17	戲論的巴利文是“papañca”，“papañca”的原意有“繁衍”的意思。愚癡顛倒的內心接觸外境後，所繁衍出來的種種愚癡顛倒概念，稱為戲論。
18	有見(bhava-diṭṭhi)是對“生命的存在”偏於“常”那一邊的見解：認為生命在生存時實有，死後轉為另一種形式的實有。
19	無有見(vibhava-diṭṭhi)和有見相對，是偏於“斷”那一邊的見解，認為生命在生存時實有，死後實無。佛陀曾指出，所有外道的見解都是偏於一邊的，不是落入常見就是落入斷見，亦即不是落入有見就是落入無有見，而佛法離開偏於任何一邊的見解。佛法指出，生命的存在就是一種五蘊不斷生滅的現象，生命的整體或生命中的任何部分都不常恆、沒有實體，只有不斷流逝的現象，而貪欲、瞋恚、愚癡是令五蘊生滅不斷的原因，因此，如果貪、瞋、癡持續不斷，五蘊的生滅就會一直持續下去；如果貪、瞋、癡止息，五蘊生滅的現象就會止息，因而生、老、死、憂、悲、苦、惱、哀的現象亦會得到止息。
20	經中“如實知這兩種見的集、滅、味、患、離”應是引申指如實知五蘊的集、滅、味、患、離。
21	這裏的“四梵行”是指佛陀在覺悟之前所修習的“苦行、粗苦、離惡、寂靜”四種外道苦行方式。
22	外道其中一種論點，認為折磨身體可把心靈釋放出來而得解脫，因此提倡自虐的修行方式。
23	淨居天是只有三果聖者才能在那裏投生的地方。三果聖者在該處投生，在該處入滅，不會再返回我們這個欲界的世間投生。
24	經文這裏的“尼乾子”是尼乾陀．若提子所有弟子的統稱。在一些佛教典籍中，也有把尼乾陀．若提子簡稱為尼乾子的。
25	佛陀在這裏以“從果推因”的方式來批評苦行。修習苦行會為身體帶來極多、極大的痛苦，從果推因，尼乾子前生一定是做了很重的惡業，所以今生跟隨尼乾陀．若提子修苦行，受極多、極大的苦報。尼乾子當然不會認同佛陀的說法，所以之後的經文說出，尼乾子主張“不能通過樂而得解脫之樂，只能通過苦而得解脫之樂”。而另一方面，佛陀主張“通過樂而得解脫之樂”──不是通過欲樂而得解脫之樂，而是通過禪修的喜樂而得解脫之樂。
26	“欲定勤行神足(chanda-samādhi-padhāna-saṅkhāra-samannāgata  iddhi-pāda)、精進定勤行神足(viriya-samādhi-padhāna-saṅkhāra-samannāgata iddhi-pāda)、心定勤行神足(citta-samādhi-padhāna-saṅkhāra-samannāgata  iddhi-pāda)、  觀  定  勤  行  神  足 (vīmaṁsa-samādhi-padhāna-saṅkhāra-samannāgata iddhi-pāda)”稱為四神足，是取得“神通”(iddhi)的四條“途徑”(pāda) ：通過“願欲”(chanda)為基礎的“定”(samādhi)，精勤(padhāna)修行(saṅkhāra)來取得“神通”，是欲定勤行神足，其餘三者同樣道理。
27	這裏的十五支是指“上進、四神足、捨棄五種內心障礙、善斷五種內心束縛”十五種東西。
28	“頭部左右搖擺，舌頭伸出伸入，額頭皺起三條橫紋”是一種扮鬼臉以表示輕蔑的動作。執杖是釋迦族一位長者，而佛陀也是釋迦族人，執杖恃著年長而輕視同族後輩的佛陀，也因輕視佛陀而不虛心進一步向佛陀問法。
29	“三者”是指根(眼、耳、鼻、舌、身、意)、境(色、聲、香、味、觸、法)、識(眼識、耳識、鼻識、舌識、身識、意識)三個地方。當這三個地方在一起時便會有“觸”(感覺官能的體驗)的產生。
30	“覺”(vitakketi 是動詞，vitakka 是名詞)即是“思想”。在經中，“覺”常和“觀”(vicāra)一起出現，兩者都是指“思想”。“覺”尤指“尋找思想主題”方面的思想活動，“觀”尤指“在思想主題盤旋”方面的思想活動。
31	“相”(nimitta)一般是指外相，但這裏的“五相”是指“五種對治不善覺的方法”。
32	“有一段時期比丘最符合我的心意”在《中部》的註釋《破除疑障》(Papañcasūdanī)之中說，這段時期是佛陀覺悟的初期。
33	“經、應頌、記說、偈頌、自說、如是語、本生、未曾有法、廣解”稱為“九分教”。九分教屬早期一種對佛陀教法的分類形式，它從文體與內容的角度出發，把佛陀的整體教法分為九類：散文的部分為“經”(sutta)，以偈頌形式覆述散文內容的部分為“應頌”(geyya)，佛陀解釋事相及記別弟子果位的內容為“記說”(veyyākaraṇa)，偈頌文體的部分為“偈頌”(gāthā)，有感而發所說出來的內容為“自說”(udāna)，由別人轉述而來的佛陀法義為“如是語”(itivuttaka)，關於過去生以至未來生的內容為“本生”(j ātaka)，關於稀有罕見的內容為“末曾有法”(abbhutadhamma)，詳細分析事相的內容為“廣解”(vedalla) 。九分教的定義在佛教不同的派別中會有一些出入。另外，“經”是一個常見的佛教名相，它在九分教之中是指跟應頌與偈頌相對的散文；在“經、律、論”三藏之中是指三藏的其中一藏；也可廣義指佛陀的整體教法。
34	“六見處”(cha-diṭṭhiṭṭhāna)是指“我見”生起的地方。我見可依“色”、“受”、“想”、“行”、“見、聞、覺、知、證、尋、意行這些心識活動”、“世間是我，自身是我，我死了之後是常、牢固、恆久、不變壞法，能恆久一直保持下去這些觀點”這六處地方而生起。
35	“如來”(tathāgata)通常都是專指佛陀的，尤用於佛陀對自身的自稱。但這裏的如來是指任何一位阿羅漢。
36	“龍”(nāga)一詞傳統漢譯為“龍象”。巴利文“nāga”一詞是指最有力量的動物，而傳說中的龍、現實中的大蛇和大象就是最有力量的動物。這詞語也常喻指最有力量的人──阿羅漢。
37	“與世尊同族”(j ātibhūmi)傳統漢譯為“生地”。生地是“在該地出生”的意思，尤指“世尊在該地出生”──即指迦毗羅衛。為了使譯文流暢，現把“j ātibhūmi”這詞語按上文下理分別譯為“與世尊同族”、“同族”、“迦毗羅衛”。
38	古人用相擊燧石的方法來取火，而相擊雞毛或皮革是沒有可能取得到火的。經中“人們甚至要用雞毛或皮革來取火”是慣用語的表達方式，意指人們用盡各種方法來取火但也不能成功。
39	在印度當時，夏季最後的一個月是最炎熱的日子，所以人們千方百計想扇風乘涼。
40	“比丘們，得到永久解脫的比丘，是沒有可能退轉的，是不會退轉的。”這句句子的巴利原文是“Ṭhānaṁ kho pan’etaṁ bhikkhave vijjati yaṁ so bhikkhu tāya samayavimuttiyā parihāyetha.”。它的意思是“比丘們，得到不永久解脫的比丘，是有可能退轉的。”但在段落重複時，這句句子的巴利 文 則  是“Aṭṭhānam   etaṁ  bhikkhave   anavakāso   yaṁ   so   bhikkhu   tāya   asamayavimuttiyāparihāy etha.”。它的意思是“比丘們，得到永久解脫的比丘，是沒有可能退轉的，是不會退轉的。”基於經文一向的範式及文義的內容，現選擇在這裏採用後段的句子而不用原句。
41	這裏的“尊者”的巴利原文是“kula-putta”。這個詞語傳統漢譯為“族姓子”，意指“受族人所接受的人”，相等於“公民”或“良民”的意思。筆者棄用“族姓子”、“良民”等譯詞，而根據上文下理把“kula-putta”譯作“人”或“尊者”等。
42	“居住在靜室”的巴利文句子是“brūhetā suññāgārānaṁ”，它也有“生活在空靜處”、“在空靜處修行”的意思。
43	在漢譯本《中阿含經．一八四．牛角娑羅林經(上) 》之中，大目犍連尊者所說的內容是“大如意足”而不是“談論有關法義的話題”。這裏應是巴利文本的脫漏，因為無論南傳或北傳佛教的記載，大目犍連尊者都是“神通第一”的大弟子。
44	“死神”(Maccu)有“死亡”的意思，這詞語跟“魔羅”(Māra)同義。有些時候，“死神”也指“焰摩天”(Yama) 。
45	“火種”(Aggivessana)是薩遮尼乾子的另一名稱。
46	薩遮尼乾子在這裏是想祝願離車人得到福報與快樂，因為很多食物都是由他們布施出來的。
47	在這裏有兩種布施者：第一種是離車人送飯給薩遮尼乾子，是布施給沒有清除貪欲、瞋恚、愚癡的人；第二種是薩遮尼乾子再把飯布施給清除了貪欲、瞋恚、愚癡的佛陀及僧團。兩者同是有福報的，只是前者福報小，後者福報大。
48	這些天神認為修習苦行的人是阿羅漢。“阿羅漢”(arahat)一詞有“值得世人供養”的意思，這個詞語不單在佛教之中使用，當時印度其他宗教也用這個詞語來形容完滿修行的人，而在佛教之中，阿羅漢是指得到四果果位的聖者，即指貪欲、瞋恚、愚癡完全清除的聖者。
49	這是悉達多太子年幼時的一次經歷。
50	“憍尸迦”(Kosiya)是帝釋天的另一個名稱。
51	筏喻的法義記載在《中部．二十二．蛇喻經》之中。
52	這裏提到對過去、將來和現在的“我”的各種看法，均屬“我見”的範疇。修行者若明白身心的本質是緣生緣滅時，若追溯過去，會明白過去的生命緣生緣滅；若推演將來，會明白將來的生命也是緣生緣滅；若觀察現在，會明白現在的生命也是緣生緣滅。他不會落入常見、斷見、有見、無見、造業與受報是完全相同的一個人、造業與受報是兩個完全不同的人等各種“我見”之中。
53	“沒有保持身念”和“沒有保持念”的意思相同，因為“身、受、心、法”四念處以“身念處”為根本。
54	“障蓋法”(āvaraṇiya-dhamma)跟“五蓋”(nīvaraṇa)同義，指貪欲、瞋恚、昏睡、掉悔、疑惑五種遮蓋心靈的東西。
55	婆羅門(brāhmaṇa)、清洗了罪業的人(nahātaka)、熟習吠陀的人(vedagū)、精通教義的人(sottiya)四個詞語用於婆羅門教，但佛陀在這裏把這些詞義引申為“真正的宗教人士”的意思。
56	“交談”的巴利文是“sākacchā”，在《增支部》的註釋《希求满足》(Manorathapūraṇī)之中在這裏解釋為“法的交談”。在漢譯本《中阿含經．二一一．大拘絺羅經》之中，跟這裏相應的詞語是“真諦”。真諦的巴利文是“sacca”，梵文是“satya”，跟“sākacchā”的發音相近，這裏可能是巴利文本的文誤。
57	在經文中沒有清楚指出哪四種條件，只是複述四禪的內容。四禪有捨、(正)念、清淨三種質素在其中。此外，以捨心來超越苦樂是四禪其中的一項特點。
58	“行”(saṅkhata)有“被造作出來的”、“造作”、“由因緣條件所生的事物”等意思，亦即是指“世間法”。相對來說，“非行”(asaṅkhata)有“不是被造作出來的”、“不造作”、“因緣條件息滅的後果”等意思，這即是指“出世間法”或“湼槃”。八正道仍然是行、仍然是有造作的東西，但可通過這條有行、有造作的途徑而達至無行、無造作的湼槃。
59	“牛尿”的巴利文是“pūti-mutta”。某些動物的尿或糞便雖然氣味難聞，但可作藥用。
60	“如來”在這裏和如下四段的巴利原文都是“āyasmant”(尊者)，之後的段落又用回“Tathāgata”。“尊者”通常是用於佛陀的比丘弟子的稱呼，為了不致混淆，所以在這五段之中一共十個“āyasmant”全譯作“如來”。
61	這是說，無論如來是否對弟子說法，無論如來是否帶導弟子，他根除漏、根除污染、根除生死等質素都不會變。
